Iteration : 19850 | Loss : 0.183324 | Accuracy : 94.740000
Iteration : 19900 | Loss : 0.183113 | Accuracy : 94.745000
Iteration : 19950 | Loss : 0.182902 | Accuracy : 94.748333
Iteration : 20000 | Loss : 0.182692 | Accuracy : 94.758333
Iteration : 20050 | Loss : 0.182482 | Accuracy : 94.765000
Iteration : 20100 | Loss : 0.182273 | Accuracy : 94.773333
Iteration : 20150 | Loss : 0.182065 | Accuracy : 94.776667
Iteration : 20200 | Loss : 0.181857 | Accuracy : 94.785000
Iteration : 20250 | Loss : 0.181650 | Accuracy : 94.793333
Iteration : 20300 | Loss : 0.181444 | Accuracy : 94.800000
Iteration : 20350 | Loss : 0.181238 | Accuracy : 94.803333
Iteration : 20400 | Loss : 0.181032 | Accuracy : 94.806667
Iteration : 20450 | Loss : 0.180827 | Accuracy : 94.815000
Iteration : 20500 | Loss : 0.180623 | Accuracy : 94.815000
Iteration : 20550 | Loss : 0.180420 | Accuracy : 94.820000
Iteration : 20600 | Loss : 0.180217 | Accuracy : 94.833333
Iteration : 20650 | Loss : 0.180014 | Accuracy : 94.841667
Iteration : 20700 | Loss : 0.179812 | Accuracy : 94.850000
Iteration : 20750 | Loss : 0.179611 | Accuracy : 94.856667
Iteration : 20800 | Loss : 0.179411 | Accuracy : 94.860000
Iteration : 20850 | Loss : 0.179210 | Accuracy : 94.870000
Iteration : 20900 | Loss : 0.179011 | Accuracy : 94.871667
Iteration : 20950 | Loss : 0.178812 | Accuracy : 94.878333
Iteration : 21000 | Loss : 0.178614 | Accuracy : 94.878333
Iteration : 21050 | Loss : 0.178417 | Accuracy : 94.885000
Iteration : 21100 | Loss : 0.178220 | Accuracy : 94.890000
Iteration : 21150 | Loss : 0.178023 | Accuracy : 94.896667
